name,address,lat,lng,rating,user_ratings_total
Soula.Leuit ( Yoga & Picnic Place ),Jl.Rancabentang No.46,-6.865213600000001,107.6103647,4.9,12
Kedai Lumintu,"Jalan Bukit Raya Atas No.223, Ciumbuleuit",-6.8592676,107.609807,4.9,14
Kedai Aadi ciumbuleuit,"4JR5+FV6, Ciumbuleuit",-6.858840199999999,107.6096548,5,1
Dapur Arimbi Masakan Desa Bu Ari,"Jalan Bukit Raya No.221, Ciumbuleuit",-6.8588529,107.6096505,Unknown,Unknown
LA PINETA,"Jalan Bukit Raya Atas No.551, Ciumbuleuit",-6.8570435,107.6106156,2,1
Sanggar Kerang,"Jalan Bukit Raya Atas No.71, Ciumbuleuit",-6.8567383,107.6104791,5,1
Bakso & Mie Ayam Mas Cibran,Indonesia,-6.856686799999999,107.6106132,Unknown,Unknown
Warung Nostalgia 2,"Jalan Ciumbuleuit No.106, Ciumbuleuit",-6.856357500000001,107.6107864,Unknown,Unknown
nasi kuning ibu lina,"4JV5+8WF, Jalan Rereongan Sarupi, Ciumbuleuit",-6.856688000000002,107.6097876,Unknown,Unknown
"Matar Jambococo Sei Sapi, Kopi Susu & Nongkrong","Jalan Cipicung Hilir No.475, Ciumbuleuit",-6.857401899999999,107.6113095,4.4,437
Warung Timbel Ibu Iis Punclut,"4JV6+R6V, Unnamed Road, Ciumbuleuit",-6.8553822,107.6105348,4.6,5
WARUNG NRS (WARUNG CIRENG),"4JV6+P92, Kp, Cihanja Jalan Punclut, Ciumbuleuit",-6.855726999999999,107.6109,Unknown,Unknown
Dapoer Irfi,"Kp. Cihanja, No. 49, Ciumbuleuit",-6.8558897,107.6101898,3,2
Juve Fried Chicken,"Jalan Ciumbuleuit No.163, Ciumbuleuit",-6.856058699999999,107.6103444,5,1
Kabita Rasa,"Jalan Punclut No.Atas, Ciumbuleuit",-6.855168599999999,107.6113715,4.6,5
WARUNG RAOS NIKMAT TEH ELI,"Jalan Kiputih Dalam No.8, Ciumbuleuit",-6.866975099999999,107.6116916,5,3
AWKIMBAP!,"Jalan Kiputih Dalam No.15 RT03, RW.05, Ciumbuleuit",-6.867145,107.6116889,5,6
ayam geprek om ndut,Jalan Kiputih Dalam,-6.867248900000001,107.6116502,Unknown,Unknown
Dapoer mamah nisa,Ciumbuleuit,-6.867437499999999,107.6114375,Unknown,Unknown
Warung Rkr,"4JQ6+FM4, Ciumbuleuit",-6.861370599999999,107.6117093,5,5
warung baso mas joko,"4JQ6+JV7, Unnamed Road, Ciumbuleuit",-6.860951099999999,107.6121761,5,2
Pakar Arsik,Jalan Cipicung Hilir,-6.861191000000001,107.6113968,Unknown,Unknown
Pakar Arsik,Ciumbuleuit,-6.8608097,107.6117462,5,2
Warung seblak arin,"Ciumbuleuit, Jalan Cipicung Hilir No.rt 02, rw02",-6.860106,107.6128264,Unknown,Unknown
Punclut,"No.180m, Jalan Bukit Raya Atas No.180, Ciumbuleuit",-6.858629700000001,107.612654,4.7,681
Thai Palace,Ciumbuleuit,-6.858629700000001,107.612654,Unknown,Unknown
Paradesa Warong,"Jalan Pagermaneuh No.544A, Ciumbuleuit",-6.856451999999999,107.6112892,4.3,54
Warung Sari Mandiri,"Jalan Punclut No.579, Ciumbuleuit",-6.855586600000001,107.6121879,5,1
TsTy Burgerlab,"Jalan Bukit Raya Selatan No.475, Ciumbuleuit",-6.8570896,107.6123533,5,2
